Creating TB dir and writter...
Using provided dataset...
/home/ganchao/miniconda3/envs/vfm/lib/python3.9/site-packages/torch/utils/data/sampler.py:68: UserWarning: `data_source` argument is not used and will be removed in 2.2.0.You may still have custom implementation that utilizes it.
  warnings.warn(
Constructing network...

VFMToyNet       Parameters  Buffers  Output shape  Datatype
---             ---         ---      ---           ---     
encoder.mu.0    6400        -        [256, 128]    float32 
encoder.mu.1    -           -        [256, 128]    float32 
encoder.mu.2    16512       -        [256, 128]    float32 
encoder.mu.3    -           -        [256, 128]    float32 
encoder.mu.4    16512       -        [256, 128]    float32 
encoder.mu.5    -           -        [256, 128]    float32 
encoder.mu.6    16512       -        [256, 128]    float32 
encoder.mu.7    -           -        [256, 128]    float32 
encoder.mu.8    16512       -        [256, 128]    float32 
encoder.mu.9    -           -        [256, 128]    float32 
encoder.mu.10   6321        -        [256, 49]     float32 
encoder.mu.0    -           -        [256, 128]    float32 
encoder.mu.1    -           -        [256, 128]    float32 
encoder.mu.2    -           -        [256, 128]    float32 
encoder.mu.3    -           -        [256, 128]    float32 
encoder.mu.4    -           -        [256, 128]    float32 
encoder.mu.5    -           -        [256, 128]    float32 
encoder.mu.6    -           -        [256, 128]    float32 
encoder.mu.7    -           -        [256, 128]    float32 
encoder.mu.8    -           -        [256, 128]    float32 
encoder.mu.9    -           -        [256, 128]    float32 
encoder.mu.10   -           -        [256, 49]     float32 
unet_model.net  420401      -        [256, 49]     float32 
vnet_model.net  420401      -        [256, 49]     float32 
<top-level>:0   98          -        [256, 49]     float32 
<top-level>:1   -           -        [256, 49]     float32 
<top-level>:2   -           -        [256, 49]     float32 
<top-level>:3   -           -        [256, 49]     float32 
<top-level>:4   -           -        [256, 49]     float32 
<top-level>:5   -           -        [256, 49]     float32 
---             ---         ---      ---           ---     
Total           919669      0        -             -       

Setting up optimizer and loss fn...
Training for 500000 kimg...

tick 84    sec/tick 0.6     sec/kimg 0.04    dyn_loss 1274.277 total_loss 2865.030
tick 85    sec/tick 0.6     sec/kimg 0.04    dyn_loss 1145.027 total_loss 2497.792
tick 86    sec/tick 0.6     sec/kimg 0.04    dyn_loss 1438.892 total_loss 2874.886
tick 87    sec/tick 0.6     sec/kimg 0.04    dyn_loss 1427.562 total_loss 2770.480
tick 88    sec/tick 0.6     sec/kimg 0.04    dyn_loss 1172.921 total_loss 2600.271
tick 89    sec/tick 0.6     sec/kimg 0.04    dyn_loss 1467.932 total_loss 2834.870
tick 90    sec/tick 0.6     sec/kimg 0.04    dyn_loss 1029.921 total_loss 2271.240
tick 91    sec/tick 0.6     sec/kimg 0.04    dyn_loss 1134.771 total_loss 2630.015
tick 92    sec/tick 0.6     sec/kimg 0.04    dyn_loss 990.883 total_loss 2337.732
tick 93    sec/tick 0.6     sec/kimg 0.04    dyn_loss 1292.487 total_loss 2531.652
tick 94    sec/tick 0.7     sec/kimg 0.05    dyn_loss 1006.355 total_loss 2335.088
tick 95    sec/tick 0.6     sec/kimg 0.04    dyn_loss 1294.426 total_loss 2802.929
tick 96    sec/tick 0.6     sec/kimg 0.04    dyn_loss 1149.862 total_loss 2657.800
tick 97    sec/tick 0.6     sec/kimg 0.04    dyn_loss 1011.890 total_loss 2297.652
tick 98    sec/tick 0.6     sec/kimg 0.04    dyn_loss 991.082 total_loss 2332.354
tick 99    sec/tick 0.6     sec/kimg 0.04    dyn_loss 1001.406 total_loss 2361.615
tick 100   sec/tick 0.6     sec/kimg 0.04    dyn_loss 926.612 total_loss 2129.986
tick 101   sec/tick 0.6     sec/kimg 0.04    dyn_loss 1317.478 total_loss 2648.259
tick 102   sec/tick 0.6     sec/kimg 0.04    dyn_loss 910.482 total_loss 2080.508
tick 103   sec/tick 0.6     sec/kimg 0.04    dyn_loss 904.331 total_loss 2201.830
tick 104   sec/tick 0.6     sec/kimg 0.04    dyn_loss 1048.713 total_loss 2297.454
tick 105   sec/tick 0.6     sec/kimg 0.04    dyn_loss 1027.520 total_loss 2188.396
tick 106   sec/tick 0.6     sec/kimg 0.04    dyn_loss 956.697 total_loss 2165.607
tick 107   sec/tick 0.6     sec/kimg 0.04    dyn_loss 884.047 total_loss 1901.024
tick 108   sec/tick 0.6     sec/kimg 0.04    dyn_loss 1061.019 total_loss 2204.840
tick 109   sec/tick 0.7     sec/kimg 0.04    dyn_loss 884.830 total_loss 2009.053
tick 110   sec/tick 0.6     sec/kimg 0.04    dyn_loss 838.582 total_loss 1960.479
tick 111   sec/tick 0.6     sec/kimg 0.04    dyn_loss 793.467 total_loss 1789.000
tick 112   sec/tick 0.6     sec/kimg 0.04    dyn_loss 873.331 total_loss 1951.238
tick 113   sec/tick 0.6     sec/kimg 0.04    dyn_loss 763.740 total_loss 1886.903
tick 114   sec/tick 0.7     sec/kimg 0.04    dyn_loss 841.856 total_loss 1993.233
tick 115   sec/tick 0.6     sec/kimg 0.04    dyn_loss 725.044 total_loss 1702.572
tick 116   sec/tick 0.6     sec/kimg 0.04    dyn_loss 744.866 total_loss 1795.971
tick 117   sec/tick 0.6     sec/kimg 0.04    dyn_loss 880.621 total_loss 1979.408
tick 118   sec/tick 0.7     sec/kimg 0.04    dyn_loss 665.045 total_loss 1608.571
tick 119   sec/tick 0.6     sec/kimg 0.04    dyn_loss 592.276 total_loss 1578.833
tick 120   sec/tick 0.6     sec/kimg 0.04    dyn_loss 631.026 total_loss 1604.527
