Creating TB dir and writter...
Using provided dataset...
/home/ganchao/miniconda3/envs/vfm/lib/python3.9/site-packages/torch/utils/data/sampler.py:68: UserWarning: `data_source` argument is not used and will be removed in 2.2.0.You may still have custom implementation that utilizes it.
  warnings.warn(
Constructing network...

VFMToyNet       Parameters  Buffers  Output shape  Datatype
---             ---         ---      ---           ---     
encoder.mu.0    5248        -        [256, 128]    float32 
encoder.mu.1    -           -        [256, 128]    float32 
encoder.mu.2    16512       -        [256, 128]    float32 
encoder.mu.3    -           -        [256, 128]    float32 
encoder.mu.4    16512       -        [256, 128]    float32 
encoder.mu.5    -           -        [256, 128]    float32 
encoder.mu.6    16512       -        [256, 128]    float32 
encoder.mu.7    -           -        [256, 128]    float32 
encoder.mu.8    16512       -        [256, 128]    float32 
encoder.mu.9    -           -        [256, 128]    float32 
encoder.mu.10   5160        -        [256, 40]     float32 
encoder.mu.0    -           -        [256, 128]    float32 
encoder.mu.1    -           -        [256, 128]    float32 
encoder.mu.2    -           -        [256, 128]    float32 
encoder.mu.3    -           -        [256, 128]    float32 
encoder.mu.4    -           -        [256, 128]    float32 
encoder.mu.5    -           -        [256, 128]    float32 
encoder.mu.6    -           -        [256, 128]    float32 
encoder.mu.7    -           -        [256, 128]    float32 
encoder.mu.8    -           -        [256, 128]    float32 
encoder.mu.9    -           -        [256, 128]    float32 
encoder.mu.10   -           -        [256, 40]     float32 
unet_model.net  415784      -        [256, 40]     float32 
vnet_model.net  415784      -        [256, 40]     float32 
<top-level>:0   80          -        [256, 40]     float32 
<top-level>:1   -           -        [256, 40]     float32 
<top-level>:2   -           -        [256, 40]     float32 
<top-level>:3   -           -        [256, 40]     float32 
<top-level>:4   -           -        [256, 40]     float32 
<top-level>:5   -           -        [256, 40]     float32 
---             ---         ---      ---           ---     
Total           908104      0        -             -       

Setting up optimizer and loss fn...
Training for 500000 kimg...

tick 96    sec/tick 0.5     sec/kimg 0.03    dyn_loss 225.104 total_loss 772.213
tick 97    sec/tick 0.5     sec/kimg 0.03    dyn_loss 215.723 total_loss 728.707
tick 98    sec/tick 0.5     sec/kimg 0.03    dyn_loss 219.869 total_loss 739.524
tick 99    sec/tick 0.5     sec/kimg 0.03    dyn_loss 198.533 total_loss 713.150
tick 100   sec/tick 0.5     sec/kimg 0.03    dyn_loss 170.812 total_loss 689.663
tick 101   sec/tick 0.5     sec/kimg 0.03    dyn_loss 211.816 total_loss 702.860
tick 102   sec/tick 0.5     sec/kimg 0.03    dyn_loss 173.364 total_loss 705.599
tick 103   sec/tick 0.5     sec/kimg 0.03    dyn_loss 209.443 total_loss 758.330
tick 104   sec/tick 0.5     sec/kimg 0.03    dyn_loss 183.784 total_loss 700.324
tick 105   sec/tick 0.5     sec/kimg 0.03    dyn_loss 178.749 total_loss 689.720
tick 106   sec/tick 0.5     sec/kimg 0.03    dyn_loss 239.761 total_loss 744.196
tick 107   sec/tick 0.5     sec/kimg 0.03    dyn_loss 168.997 total_loss 703.223
tick 108   sec/tick 0.5     sec/kimg 0.03    dyn_loss 174.712 total_loss 670.426
tick 109   sec/tick 0.5     sec/kimg 0.03    dyn_loss 198.546 total_loss 701.558
tick 110   sec/tick 0.5     sec/kimg 0.03    dyn_loss 133.205 total_loss 641.082
tick 111   sec/tick 0.5     sec/kimg 0.03    dyn_loss 146.239 total_loss 676.226
tick 112   sec/tick 0.5     sec/kimg 0.03    dyn_loss 157.126 total_loss 654.438
tick 113   sec/tick 0.5     sec/kimg 0.03    dyn_loss 140.873 total_loss 602.093
tick 114   sec/tick 0.5     sec/kimg 0.03    dyn_loss 144.126 total_loss 565.473
tick 115   sec/tick 0.5     sec/kimg 0.03    dyn_loss 150.995 total_loss 584.222
tick 116   sec/tick 0.5     sec/kimg 0.03    dyn_loss 145.001 total_loss 626.471
tick 117   sec/tick 0.5     sec/kimg 0.03    dyn_loss 163.661 total_loss 615.730
tick 118   sec/tick 0.5     sec/kimg 0.04    dyn_loss 125.517 total_loss 579.514
tick 119   sec/tick 0.5     sec/kimg 0.03    dyn_loss 90.695  total_loss 549.051
tick 120   sec/tick 0.5     sec/kimg 0.03    dyn_loss 131.896 total_loss 627.400
tick 121   sec/tick 0.5     sec/kimg 0.03    dyn_loss 119.886 total_loss 580.577
tick 122   sec/tick 0.5     sec/kimg 0.03    dyn_loss 110.573 total_loss 545.798
tick 123   sec/tick 0.5     sec/kimg 0.03    dyn_loss 96.115  total_loss 569.465
tick 124   sec/tick 0.5     sec/kimg 0.03    dyn_loss 123.338 total_loss 555.772
tick 125   sec/tick 0.5     sec/kimg 0.03    dyn_loss 69.169  total_loss 551.099
tick 126   sec/tick 0.5     sec/kimg 0.04    dyn_loss 94.940  total_loss 492.948
tick 127   sec/tick 0.5     sec/kimg 0.03    dyn_loss 97.623  total_loss 534.456
tick 128   sec/tick 0.5     sec/kimg 0.04    dyn_loss 106.445 total_loss 531.676
tick 129   sec/tick 0.6     sec/kimg 0.04    dyn_loss 87.955  total_loss 476.585
tick 130   sec/tick 0.6     sec/kimg 0.04    dyn_loss 87.627  total_loss 530.620
tick 131   sec/tick 0.6     sec/kimg 0.04    dyn_loss 83.897  total_loss 520.522
tick 132   sec/tick 0.6     sec/kimg 0.04    dyn_loss 98.974  total_loss 504.561
tick 133   sec/tick 0.6     sec/kimg 0.04    dyn_loss 95.476  total_loss 674.153
tick 134   sec/tick 0.6     sec/kimg 0.04    dyn_loss 62.864  total_loss 585.068
tick 135   sec/tick 0.6     sec/kimg 0.04    dyn_loss 81.784  total_loss 611.676
tick 136   sec/tick 0.6     sec/kimg 0.04    dyn_loss 85.902  total_loss 629.276
tick 137   sec/tick 0.6     sec/kimg 0.04    dyn_loss 52.907  total_loss 543.322
tick 138   sec/tick 0.6     sec/kimg 0.04    dyn_loss 90.681  total_loss 603.498
